HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
103,47,,Psc,,,0,28,2.9,N,17,53,35,5.06,1.65,1.82,  M3III,0.117,0.021,0.016,6
104,,,,,,0,28,13.7,N,44,23,40,5.17,0.03,-0.01,  A2V s,0.089,-0.016,0.013,2
105,,Eta,Scl,,,0,27,55.7,S,33,0,26,4.81,1.64,1.81,  M4III,-0.019,-0.052,-0.014,11
106,48,,Psc,,,0,28,12.7,N,16,26,42,6.06,1.58,2,  K5III,0.019,-0.015,,-7
107,,,,,,0,28,20.1,N,10,11,23,6.04,0.43,-0.06,  F6Va,0.046,-0.207,0.033,-10
108,,,,,,0,28,21.1,S,20,20,6,6.43,0.59,-0.03,  G0V,-0.116,-0.114,0.034,6
109,,,,,,0,28,26.4,S,39,54,54,5.43,1.56,1.9,  M0III,0.13,-0.036,0.015,32
110,,,,,,0,28,56.6,N,36,54,0,6.26,0.92,,  G5III,-0.011,0.003,,10
111,,,,,,0,28,43.1,S,50,31,58,6.26,1.09,,  K0III,0.15,-0.002,,6
112,,,,,,0,30,55,N,77,1,10,6.21,0.84,0.54,  K0IV,0.337,-0.038,0.023,19
113,,,,412,,0,30,19.9,N,59,58,38,5.94,0.01,-0.36,  B9IIIn,0.017,-0.012,0.002,-17
114,28,,And,409,,0,30,7.3,N,29,45,6,5.23,0.24,0.09,  A7III,0.041,-0.054,0.001,-10
115,,,,,,0,29,51.9,S,14,51,51,6.14,0.37,,  F2III,0.144,-0.032,,3
116,,,,,,0,29,48.9,S,32,7,0,6.57,1.34,,  K4III,-0.004,-0.054,,1
117,12,,Cet,410,,0,30,2.4,S,3,57,26,5.72,1.56,1.91,  M0III,0.011,-0.012,,5
118,,,,,,0,30,22.7,S,23,47,16,5.19,0.12,,  A5Vn,-0.024,0.013,0.018,0
119,,,,,,0,30,27.8,S,40,56,22,6.19,0.33,0.14,  F2III,-0.001,0.021,,-5
120,,,,,,0,30,26.1,S,48,12,54,5.69,0.35,0.05,  F2V,0.129,-0.088,,2
121,13,,Cas,,,0,31,25.3,N,66,31,10,6.18,-0.1,-0.47,  B6V,0.023,-0.006,,-10
122,,,,,,0,31,25.6,N,33,34,54,5.87,1.14,,  K1III,0.047,-0.019,,9
123,14,Lam,Cas,434,,0,31,46.4,N,54,31,20,4.73,-0.1,-0.35,  B8Vn,0.045,-0.01,0.03,-12
124,,,,,,0,31,41.2,N,52,50,22,5.6,1.15,1.13,  K2III,-0.053,-0.019,0.008,-52
125,,Lam1,Phe,,,0,31,25,S,48,48,13,4.77,0.02,0.04,  A0V,0.143,0.017,0.027,-2
126,,Bet1,Tuc,,A,0,31,32.7,S,62,57,29,4.37,-0.07,-0.17,  B9V,0.09,-0.054,0.03,14
127,,Bet2,Tuc,,C,0,31,33.6,S,62,57,57,4.54,0.15,0.03,  A2V+A7V,0.101,-0.056,0.03,10
128,,,,,,0,32,26.8,N,43,29,41,6.7,-0.01,-0.2,  A1Vn,0.018,-0.01,,-15
129,,,,,,0,33,19.3,N,70,58,54,6.42,-0.01,-0.06,  A0Vn,0.028,-0.004,,-10
130,15,Kap,Cas,,,0,33,0,N,62,55,54,4.16,0.14,-0.8,  B1Ia,0.003,-0.003,,-2
131,52,,Psc,452,,0,32,35.5,N,20,17,40,5.38,1.08,0.96,  K0III,0.135,-0.047,0.032,-13
132,51,,Psc,449,,0,32,23.8,N,6,57,20,5.67,0,-0.17,  B9.5V,0.035,0.002,,17
133,,,,,,0,32,34.5,N,27,34,50,6.67,,,  A2IV,-0.017,-0.015,,2
134,,,,455,,0,32,49.1,N,28,16,49,6.3,1,0.73,  K0III,-0.006,0.007,0.006,-12
135,,,,,,0,33,10.4,N,54,53,42,5.93,1.04,0.84,  K0III,0.071,-0.042,,-35
136,,Bet3,Tuc,,,0,32,43.8,S,63,1,52,5.09,0.04,0.02,  A0V,0.081,-0.038,0.049,5
137,16,,Cas,,,0,34,24.9,N,66,45,1,6.48,-0.08,-0.32,  B9III,0.021,0,,-16
138,,,,,,0,33,41.1,S,29,33,30,5.55,1.27,1.23,  K2III,-0.026,-0.03,,-9
139,,The,Tuc,,,0,33,23.3,S,71,15,58,6.13,0.23,0.2,  A7IV,0.067,-0.012,,2
140,,,,,,0,34,27.8,S,52,22,23,5.57,0.47,0,  F3IV-V,0.23,0.032,0.038,35
141,,,,,,0,34,55.3,N,13,22,16,6.4,,,  K0,-0.09,-0.057,,-19
142,13,,Cet,490,,0,35,14.9,S,3,35,34,5.2,0.56,0.08,  F8V,0.413,-0.026,0.06,9
143,14,,Cet,,,0,35,32.8,S,0,30,20,5.93,0.44,-0.02,  F5IV,0.146,-0.066,,6
144,,,,,,0,36,8.3,N,54,10,7,5.08,-0.11,-0.36,  B7III,0.022,0,,1
145,,,,,,0,35,54.7,N,13,12,24,6.41,0.52,-0.05,  F7V,-0.143,-0.189,0.02,-25
146,,,,,,0,36,27.3,N,60,19,34,5.79,0.29,0.29,  A4III,-0.001,-0.003,,-9
147,,Lam2,Phe,,,0,35,41.1,S,48,0,3,5.51,0.44,-0.01,  F6V,0.045,-0.104,,8
148,,,,,,0,35,33.4,S,54,49,19,6.06,1.01,,  K0IV,0.027,-0.054,,-10
149,,,,,,0,36,20,N,27,15,17,6.5,-0.09,-0.39,  B8IIIp,0.011,-0.016,,1
150,,,,,,0,36,3,S,14,58,25,6.45,1.06,0.91,  G9III,-0.083,-0.079,,12
151,,,,,,0,36,6.9,S,22,50,33,6.06,0.29,,  A6pSr,-0.072,-0.052,,13
