HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
6926,,,,,,18,28,57.4,S,26,34,54,6.5,0.11,,  A3III,0.003,0.009,,-17
6927,44,Chi,Dra,,,18,21,3.4,N,72,43,58,3.57,0.49,-0.06,  F7V,0.532,-0.35,0.12,33
6928,,,,,,18,27,58.8,N,6,11,39,5.73,-0.03,-0.35,  B8III-IV,0,-0.024,,-12
6929,,,,,,18,29,22,S,25,15,23,6.59,0.07,-0.68,  B2IVpe,0.004,-0.001,,-4
6930,,Gam,Sct,,,18,29,11.9,S,14,33,57,4.7,0.06,0.06,  A3Vn,0.003,-0.002,0.025,-41
6931,,,,,,18,31,3,S,41,54,49,6.04,0.14,,  A3V,0,-0.022,,-14
6932,,,,,,18,29,46.8,S,14,34,54,5.96,-0.04,-0.14,  B9p,0.021,0.025,,-16
6933,,,,,,18,30,11.9,S,18,43,44,5.66,1.06,, gK0,0.038,-0.095,0.011,-1
6934,,Del1,Tel,,,18,31,45.4,S,45,54,54,4.96,-0.11,-0.42,  B6IV,-0.008,-0.032,,7
6935,60,,Ser,,,18,29,41,S,1,59,7,5.39,0.96,0.76,  K0III,0.032,-0.033,0.013,28
6936,,,,,,18,31,4.8,S,32,59,21,5.34,0.16,0.07,  A3m,-0.001,-0.045,0.023,9
6937,,,,,,18,31,56.2,S,43,30,28,5.72,1.34,,  K2III,-0.005,-0.019,,7
6938,,Del2,Tel,,,18,32,2,S,45,45,26,5.07,-0.14,-0.56,  B3III,0.004,-0.008,,8
6939,,,,,,18,33,29.5,S,58,42,33,6.44,0.68,0.18,  G5IV,0.027,-0.124,,33
6940,,,,,,18,30,14.3,S,5,43,27,6.28,0.95,0.65,  G8II-III,0.004,-0.018,,27
6941,,,,1399,,18,30,5.1,N,4,3,55,6.69,0.11,-0.51,  B2V,0,-0.009,,-22
6942,,,,,,18,32,21.4,S,39,42,14,5.16,0.08,,  A3Vn,0.036,-0.04,0.022,-6
6943,,,,,,18,29,35.7,N,23,51,58,5.9,-0.1,-0.51,  B6IV,0,-0.007,,-17
6944,,,,1411,,18,31,26.3,S,18,24,10,5.14,0,,  A0Vp,-0.003,-0.025,0.017,-37
6945,42,,Dra,,,18,25,59.1,N,65,33,49,4.82,1.19,1.11,  K1.5III,0.105,-0.023,0.021,32
6946,,,,1414,,18,31,25.7,S,10,47,45,5.72,0.24,-0.45,  B2V,0,-0.015,,-15
6947,,,,,,18,31,53.3,S,19,7,30,6.68,1.13,0.69,  G1.5Ib,-0.009,0.001,,2
6948,,,,,,18,33,0.9,S,39,53,32,6.22,0.42,,  F5IV,0.086,-0.086,,-16
6949,,,,,,18,27,42.3,N,59,32,57,6.43,,,  K0IV,0.052,0.045,,-10
6950,,,,,,18,30,41.6,N,20,48,55,6.5,0.79,0.4,  G8IV,0.011,-0.258,0.029,-59
6951,,The,CrA,,,18,33,30.2,S,42,18,45,4.64,1.01,0.76,  G8III,0.031,-0.022,-0.001,-2
6952,,Kap1,CrA,,B,18,33,23.3,S,38,43,13,6.32,,,  A0III,0.021,-0.028,,-16
6953,,Kap2,CrA,,A,18,33,23.1,S,38,43,34,5.65,-0.06,,  B9V,-0.003,-0.03,,-20
6954,,,,,,18,34,31.2,S,52,53,31,6.22,1.25,,  K2III,-0.011,-0.054,,24
6955,,,,,,18,31,4.4,N,16,55,43,5.77,0.04,0.07,  A2V,-0.032,-0.021,,-9
6956,,,,,,18,32,20.8,S,14,38,39,6.37,0.22,,  A4V,0.019,-0.017,,-38
6957,61,,Ser,,,18,31,57,S,1,0,11,5.94,0.16,0.16,  A4III,0.01,-0.006,,-27
6958,,,,,,18,32,7,N,3,39,35,6.43,-0.04,-0.26,  A0p,0.031,0.015,,-8
6959,,,,,,18,32,43.3,S,14,51,56,5.5,1.97,2.17,  K3Ib-II,-0.004,0.001,,5
6960,,,,,,18,33,57.8,S,33,1,0,5.28,-0.11,-0.69,  B2IV-V,0.004,-0.01,,4
6961,24,,Sgr,,,18,33,53.5,S,24,1,57,5.49,1.79,,  K4Ib,0.002,-0.01,,-14
6962,,,,,,18,33,39,S,14,51,13,5.76,0.04,,  A2V,0.025,-0.013,,-21
6963,,,,,,18,33,22.9,S,5,54,41,6.36,0.02,-0.04,  A0Vn,0.012,-0.017,,-24
6964,,,,,,18,51,57.9,S,83,18,59,7.16,1.26,1.3,  K1III,-0.008,-0.021,,11
6965,25,,Sgr,,,18,34,32.8,S,24,13,21,6.51,0.54,0.46,  F3II-III,0.001,-0.001,,8
6966,,,,,,18,32,46.2,N,23,37,1,5.84,1.46,, gK5,0.01,0.016,,-4
6967,,,,1448,,18,33,23.3,N,8,16,6,6.42,-0.03,-0.34,  B8IIIp,0.007,-0.003,,-22
6968,,,,1446,,18,32,49.9,N,30,33,15,5.48,-0.1,-0.34,  B8IV,0.01,0.009,0.009,-10
6969,,,,,,18,35,21.3,S,20,50,27,6.48,0.28,,  F0IV,0.03,-0.013,,-10
6970,,,,,,18,35,2.4,S,10,58,38,5.14,0.92,0.6,  G8III,0.051,-0.004,0.012,7
6971,,,,,,18,33,23.1,N,30,53,33,6.59,-0.12,-0.51,  B4Ve,0.011,0.009,,-4
6972,,,,,,18,35,59.7,S,29,41,57,6.37,1.27,,  K1III,0.009,-0.009,,-50
6973,,Alp,Sct,,,18,35,12.4,S,8,14,39,3.85,1.33,1.54,  K3-III-IIIb,-0.015,-0.312,0.016,36
6974,,,,,,18,32,11.4,N,52,6,56,6.56,-0.07,-0.18,  B9.5V,-0.004,0.006,,-23
6975,,,,,,18,34,19.6,N,20,27,59,6.57,0.11,0.07,  A3V,0.008,-0.006,,-9
6976,,,,,,18,34,47.5,N,10,53,30,6.4,0.08,0.05,  A1V,0.004,-0.007,,-36
6977,,,,,,18,35,12.6,N,18,12,12,5.78,0,-0.1,  A0Vn,0.014,0.006,,-21
6978,45,,Dra,,,18,32,34.5,N,57,2,44,4.77,0.61,0.44,  F7Ib,0.001,-0.006,0.013,-12
6979,,,,,,18,31,14.8,N,65,26,10,6.59,0.3,?,  A8m,-0.019,0.071,,-9
6980,,,,1479,,18,35,30.4,N,23,36,20,5.61,1,0.83,  G9III+G7III,0.004,0.005,0.006,16
6981,,,,1483,,18,35,53.2,N,16,58,32,6.21,0.53,0.01,  G2V+G2V,0.049,-0.068,0.02,10
6982,,Zet,Pav,,,18,43,2.1,S,71,25,41,4.01,1.14,1.02,  K0III,-0.005,-0.156,0.035,-16
6983,,,,1468,,18,33,56.7,N,52,21,13,5.36,1.09,0.96,  K0III,-0.002,0.008,0.004,-24
6984,,,,,,18,35,13.5,N,34,27,28,6.1,-0.11,-0.55,  B5Vne,0.006,0.003,-0.021,-27
6985,,,,,,18,36,27.8,N,9,7,21,5.39,0.37,-0.02,  F5III,-0.002,-0.129,0.033,-22
6986,,,,,,18,39,14.3,S,47,54,35,5.86,0.23,,  A7IV-V,0.028,0.015,,-9
6987,,,,1496,,18,36,39.1,N,6,40,19,5.45,0.37,-0.04,  F3V,-0.025,-0.141,0.032,-21
6988,,,,,,18,37,54.4,S,21,23,52,5.94,0.19,,  A8IIIn,0,-0.067,,6
6989,,,,1512,,18,38,4.6,S,14,0,17,6.47,0.21,-0.19,  B9IV,0.019,0.002,,-19
6990,,,,,,18,38,30.7,S,23,30,18,5.81,0.02,-0.41,  B8III,-0.003,-0.02,,-33
6991,,,,,,18,39,35,S,43,11,10,5.37,1.68,1.95,  M2III,-0.052,-0.052,0.004,29
6992,,,,,,18,37,12.6,N,11,25,18,6.42,-0.02,-0.22,  B9V,-0.021,-0.011,,-27
6993,,,,,,18,37,36,S,0,18,34,5.75,0.07,0.06,  A1V+A1V,0.016,-0.019,,12
6994,,,,,,18,47,49.4,S,77,52,2,6.39,0.6,0.13,  F8V,-0.022,0.188,,15
6995,,,,,,18,37,9,N,16,11,54,6.29,0.9,0.56,  G8IV,0.01,0.047,,-46
6996,,,,,,18,42,22.5,S,64,38,35,6.37,0.15,0.14,  A5V,-0.009,-0.032,,-9
6997,,,,1504,,18,36,37.2,N,33,28,8,5.42,-0.1,-0.5,  B8II-IIIp,-0.019,0,0.007,-26
6998,,,,,,18,38,53.4,S,21,3,7,5.86,0.68,0.14,  G4V,-0.078,-0.152,0.072,36
6999,,,,1520,,18,38,23.7,S,3,11,37,6.49,0.55,0.06,  F9IV,-0.009,0.032,0.027,-21
7000,,,,,,18,38,19.1,S,1,6,48,6.66,0.42,0.01,  F1IV-V,-0.027,-0.012,,-25
7001,3,Alp,Lyr,1510,,18,36,56.3,N,38,47,1,0.03,0,-0.01,  A0Va,0.202,0.286,0.123,-14
7002,,,,1524,,18,38,21,N,8,50,2,6.4,1.32,0.89,  M6IIIe+K1III,-0.014,0.006,0.011,-71
7003,,,,,,18,36,45.6,N,43,13,19,6.2,0.24,0.09,  F0V,0.023,-0.006,,5
7004,,,,,,18,43,37.2,S,64,33,4,5.78,0.96,0.77,  K0III,0.003,-0.036,,-11
7005,,,,,,18,41,30.6,S,48,5,42,6.49,1.22,,  K2III-IVCNII,-0.025,-0.122,,-46
7006,,,,,,18,29,44.9,N,77,32,49,5.64,1.18,, gK4,-0.001,0.001,0.014,1
7007,,,,1552,,18,40,0.5,S,7,47,26,5.84,1.55,1.83,  K4III,0.004,-0.032,,-23
7008,,,,,,18,39,36.9,N,5,15,51,6.38,0.78,0.42,  F8Ib-II,0.006,0.001,,-19
7009,,,,,,18,38,6.5,N,39,40,5,6.04,1.65,1.42,  M4.5-M5,0.006,0.006,,-19
7010,,,,1555,,18,39,51.6,N,7,21,30,6.28,0.96,0.69,  G8III,0.007,-0.056,,-41
7011,26,,Sgr,,,18,41,51.6,S,23,50,0,6.23,0.23,,  Am,0.032,-0.024,,2
7012,,,,,,18,45,26.9,S,64,52,17,4.79,0.2,0.08,  A5IV-V,0.027,-0.149,0.035,2
7013,,,,,,18,36,13.3,N,65,29,19,6.06,0.28,0.09,  F0V,0.019,0.083,0.009,-23
7014,,,,,,18,41,42.5,S,14,33,51,6.42,0.81,,  F2Ib,0.006,0.001,,-3
7015,,,,,,18,45,11.5,S,61,5,42,6.04,1.46,,  K3III,0.023,-0.023,,-20
7016,,,,,,18,40,2,N,30,50,58,6.36,,,  K0,-0.005,0.032,,-50
7017,,,,,,18,39,33.1,N,40,56,6,6.25,-0.06,-0.17,  B9V,0.027,-0.002,,-9
7018,,,,,,18,37,33.5,N,62,31,36,5.74,-0.06,-0.17,  A0V,-0.005,0.051,,-11
7019,,,,,,18,40,12.2,N,38,22,2,6.45,0.21,0.14,  A6m,0.026,0.001,,17
7020,,Del,Sct,1581,,18,42,16.4,S,9,3,9,4.72,0.35,0.14,  F2IIIp,0.009,0.002,0.025,-45
7021,,Lam,CrA,,,18,43,46.9,S,38,19,25,5.13,0.09,,  A2Vn,0.003,-0.057,0.024,-26
7022,,,,,,18,45,23.7,S,56,52,54,6.22,1.38,,  K3III,-0.054,-0.007,,69
7023,,,,,,18,42,55.2,S,19,17,2,6.35,1.75,1.56,  M4III,-0.001,-0.024,,-33
7024,,,,,,18,42,36.1,S,7,4,24,6.15,1,0.89,  K0-1III,-0.003,0.005,,26
7025,,,,,,18,24,9.2,N,83,10,31,6.17,0.05,0.06,  A2V,0.015,-0.027,,-11
7026,,,,,,18,44,7.7,S,36,43,7,6.32,0.98,,  K0III,0,-0.06,,-28
7027,,,,,,18,49,43.5,S,72,59,41,6.06,0,-0.09,  B9.5IV-V,-0.004,0.024,,3
7028,,,,,,18,39,52.8,N,52,11,46,6,-0.07,-0.21,  A0p:Hg:,0.004,0.028,,-18
7029,,,,,,18,44,19.4,S,35,38,31,4.87,-0.18,-0.72,  B2.5V,0,-0.031,,4
7030,,,,,,18,41,41.3,N,31,37,4,6.41,-0.04,-0.2,  B8V,0.008,0.009,,-16
7031,,,,,,18,44,57.2,S,39,41,11,5.43,0.87,0.37,  K3II+B7,0.008,-0.011,0.012,-17
7032,,Eps,Sct,1601,,18,43,31.3,S,8,16,31,4.9,1.12,0.87,  G8IIb,0.022,0.008,0.016,-11
7033,,,,1593,A,18,42,8.1,N,34,44,48,6.47,-0.13,-0.57,  B5V,0.01,0.008,,-24
7034,,,,,,18,43,51.4,S,6,49,7,6.31,0.48,0.02,  F7V,0.048,-0.055,,-66
7035,,,,,,18,44,49.6,S,25,0,40,5.83,0.05,-0.35,  B5:V,0.005,-0.022,,15
7036,,The,Pav,,,18,48,37.8,S,65,4,40,5.73,0.24,0.11,  A8V,-0.045,-0.083,,-1
7037,,,,,,18,46,59.1,S,50,5,40,6.54,0.28,,  F0V,-0.001,-0.034,,-32
7038,,,,,,18,45,18.7,S,21,0,5,6.36,0.45,,  F5V,0.027,-0.019,,2
7039,27,Phi,Sgr,,,18,45,39.4,S,26,59,27,3.17,-0.11,-0.36,  B8III,0.053,0,,22
7040,4,,Aql,,,18,44,49.9,N,2,3,36,5.02,-0.06,-0.26,  B9V,0.009,-0.018,0.005,-13
7041,,,,,,18,43,16.7,N,39,18,1,6.45,1.59,2,  K5,0.016,-0.002,,-34
7042,,,,,,18,40,56.3,N,62,44,59,6.09,0.98,,  K0III,0,0.061,,-26
7043,,,,,,18,43,36.1,N,36,33,24,6.01,1.04,,  G8,0.024,0.065,,-61
7044,,,,,,18,43,51.6,N,31,55,36,5.7,0.34,0.05,  F1III-IV,-0.033,-0.129,0.026,-2
7045,,,,,,18,46,1.2,S,19,36,23,6.42,1.65,,  M4III,-0.002,0.004,,-40
7046,28,,Sgr,1652,,18,46,20.6,S,22,23,32,5.37,1.64,1.9,  K4III,0.031,0,,-3
7047,,,,,,18,44,40.2,N,23,35,23,6.31,0.4,0,  F6V,0.009,-0.087,0.019,-12
7048,,,,1640,,18,45,28.4,N,5,29,59,5.83,0.04,0.03,  A1V+A1V,0.015,-0.011,0.006,-11
7049,46,,Dra,,,18,42,37.9,N,55,32,22,5.04,-0.09,-0.3,  B9.5p,-0.002,0.024,0.011,-30
7050,,Mu,CrA,,,18,47,44.6,S,40,24,22,5.24,0.78,,  G5-6III,0.03,-0.017,0.023,-18
7051,4,Eps1,Lyr,1635,A,18,44,20.4,N,39,40,12,5.06,0.16,0.06,  A4V,0.017,0.059,0.021,-31
7052,4,Eps1,Lyr,1635,B,18,44,20.3,N,39,40,16,6.02,,,  F1V,0.003,0.059,0.021,-33
7053,5,Eps2,Lyr,1635,C,18,44,22.9,N,39,36,47,5.14,0.19,0.08,  A8Vn,0.008,0.064,0.021,-24
7054,5,Eps2,Lyr,1635,D,18,44,22.9,N,39,36,46,5.37,,,  F0Vn,0.007,0.064,0.021,-28
7055,,,,1670,,18,46,43.3,S,10,7,30,5.71,0.59,0.54,  F2Ib-II,-0.005,0.002,,10
7056,6,Zet1,Lyr,1639,A,18,44,46.4,N,37,36,18,4.36,0.19,0.16,  A4m,0.028,0.024,0.031,-26
7057,7,Zet2,Lyr,1639,D,18,44,48.2,N,37,35,40,5.73,0.28,0.06,  F0IV,0.022,0.019,0.031,-25
7058,,,,,,18,45,35.7,N,21,59,6,6.51,0.02,-0.08,  B9p,0.015,0.012,,-17
7059,5,,Aql,1667,,18,46,28.5,S,0,57,42,5.9,0.13,0.12,  A2Vm,0.013,-0.022,0.009,17
7060,,,,,,18,43,29,N,53,52,19,6.11,0.12,?,  A2IV,0.006,-0.008,,0
7061,110,,Her,1658,,18,45,39.7,N,20,32,47,4.19,0.46,0.01,  F6V,-0.008,-0.335,0.052,24
7062,,Eta1,CrA,,,18,48,50.5,S,43,40,48,5.49,0.13,,  A3V,0.025,-0.019,,-4
7063,,Bet,Sct,,,18,47,10.5,S,4,44,52,4.22,1.1,0.81,  G4IIa,-0.004,-0.016,0.019,-22
7064,,,,,,18,46,4.5,N,26,39,44,4.83,1.2,1.23,  K3III,0.018,0.024,0.023,-17
7065,,,,,,18,49,27.4,S,45,48,37,5.81,0.9,0.51,  G8III,0.076,0.051,,10
7066,,,,,,18,47,29,S,5,42,18,5.2,1.47,1.64,  K0Ibp,-0.041,-0.028,0.001,44
7067,,,,,,18,46,41.4,N,18,42,21,6.17,1.59,,  K5,0.028,-0.022,,-13
7068,,Eta2,CrA,,,18,49,35,S,43,26,2,5.61,-0.08,,  B9IV,-0.003,-0.024,,-23
7069,111,,Her,,,18,47,1.3,N,18,10,53,4.36,0.13,0.07,  A5III,0.073,0.116,0.032,-45
7070,,,,,,18,49,17.2,S,34,44,55,6.62,1.08,,  K1IVCNIII,0.046,-0.101,,-61
7071,,,,,,18,44,55.4,N,54,53,48,6.23,0.82,,  G5III,0.007,-0.019,,7
7072,,,,,,18,48,45.3,S,18,36,5,6.47,,,  G5III:+A0V:,-0.007,-0.004,,-31
7073,,,,,,18,46,13,N,41,26,30,6.07,-0.13,-0.49,  B6V,0.001,-0.001,,-19
7074,,Lam,Pav,,,18,52,13,S,62,11,15,4.22,-0.14,-0.89,  B2II-IIIe,-0.006,-0.014,,9
7075,,,,1661,,18,44,18.2,N,61,2,53,5.99,0.96,0.73,  G7IV,-0.005,0.018,0.006,-25
7076,,,,,,18,48,2.7,N,4,14,29,6.21,1.51,1.79,  K5,-0.002,0.014,,-1
7077,,,,,,18,49,35.5,S,19,8,32,6.75,0.2,0.15,  A1m,0.017,0.01,,-43
7078,29,,Sgr,1713,,18,49,40.1,S,20,19,29,5.24,1.41,,  K4III,0.005,0.036,0.034,-18
7079,,,,,,18,48,16.4,N,23,30,51,6.15,0.49,0.02,  F8V,0.024,-0.03,,0
7080,,,,,,18,46,59,N,46,18,54,6.52,0.07,0.17,  A2IV,-0.002,-0.01,,-1
7081,,,,,,18,47,57.5,N,31,45,25,6.06,-0.13,-0.66,  B3IVp,0.009,-0.002,,-15
7082,,,,,,18,43,10.2,N,70,47,34,6.44,,,  K2,-0.002,-0.004,,-5
7083,,,,1719,,18,49,41,S,5,54,46,5.99,1.6,1.65,  K2Ib,0.005,-0.006,,-7
7084,,,,,,18,46,43.1,N,52,59,17,5.88,-0.09,-0.73,  B2.5Ve,0.01,-0.002,,-16
7085,,,,,,18,49,37.1,N,0,50,9,6.25,0.04,0.01,  A1V,-0.001,-0.024,,-40
7086,,,,,,18,48,53.4,N,19,19,43,5.88,0.03,0.02,  A1V,0.017,-0.021,,6
7087,,Kap,Tel,,,18,52,39.6,S,52,6,27,5.17,0.94,,  G8-K0III,0.041,-0.103,0.014,-44
7088,30,,Sgr,1731,,18,50,50.5,S,22,9,44,6.61,0.38,0.29,  A7III,-0.019,-0.033,,-35
7089,,,,1726,,18,50,20,S,7,54,27,6.8,3.09,4.04,  C5II,0.003,0.003,,0
7090,,,,,,18,47,40,N,49,4,30,6.4,,,  A1V,0.005,0.019,,-17
7091,,,,,,18,49,14.4,N,25,2,47,6.59,,,  A1V,0.003,-0.014,,-9
7092,,,,,,18,52,27.1,S,46,35,43,5.54,1.63,,  M0III,0.019,-0.003,0.009,-28
7093,,,,,,18,53,12.1,S,51,55,52,6.31,-0.09,,  B4III,0.01,-0.006,,-23
7094,,,,,,18,50,58.5,S,9,46,27,5.83,0.61,0.35,  F2Ib,0.002,-0.002,,-18
7095,,,,,,18,53,2.5,S,48,21,36,6.19,0.14,0.08,  A2V,-0.003,-0.046,,-44
7096,,,,,,18,48,16.1,N,48,46,3,6.12,0.21,0.08,  A7III,-0.019,0.05,,-30
7097,,,,,,18,52,59.6,S,46,35,9,6.19,0.03,0.05,  A1IV-V,-0.028,0.023,,35
7098,,,,,,18,49,44,N,31,37,45,6.64,0.02,-0.1,  A0V s,-0.003,-0.012,,-3
7099,,,,1750,,18,50,45.6,N,10,58,35,6.55,,,  K5III+K3III,0.023,0.009,0.005,-24
7100,8,Nu 1,Lyr,1732,,18,49,45.9,N,32,48,46,5.91,-0.16,-0.71,  B3IV,0.006,-0.008,,-17
7101,8,,Aql,,,18,51,22.1,S,3,19,4,6.1,0.3,0.09,  F2III,0,-0.02,,12
7102,9,Nu 2,Lyr,1737,,18,49,52.9,N,32,33,3,5.25,0.08,0.11,  A3V,-0.009,-0.014,0.02,10
7103,,,,,,18,52,28.5,S,26,39,1,6.29,0.94,,  G8/K0III,0.013,-0.046,,-25
7104,,,,,,18,52,37,S,29,22,46,6.13,1.35,,  K1III,-0.002,-0.04,,-56
7105,,,,,,18,52,41.7,S,30,44,3,6.63,-0.05,-0.27,  B8V,-0.002,-0.023,,-50
7106,10,Bet,Lyr,1745,A,18,50,4.8,N,33,21,46,3.45,0,-0.56,  B8IIpe,0.003,-0.003,-0.002,-19
7107,,Kap,Pav,,,18,56,57,S,67,14,1,4.44,0.71,0.6,  F5I-II,-0.01,0.012,0.01,38
7108,,,,,,18,54,32.3,S,49,52,43,6.6,0.08,,  A2V,-0.01,-0.012,,-8
7109,,,,,,18,52,1.9,N,13,57,56,6.14,0,-0.31,  B8Vnn,-0.011,-0.005,,-29
7110,,,,,,18,53,1.9,S,9,34,34,6.34,0.2,0.11,  A7Vn,0.04,-0.002,,-48
7111,,,,,,18,56,54.7,S,62,48,4,6.48,1.53,,  K3III,0,0.032,,27
7112,,,,,,18,51,35.9,N,28,47,1,6.18,1.18,,  K1II-III,0.012,0.008,,-22
7113,112,,Her,,,18,52,16.4,N,21,25,31,5.48,-0.07,-0.42,  B9II-IIIp,-0.006,-0.008,0.007,-20
7114,33,,Sgr,,,18,54,0.1,S,21,21,35,5.69,1.23,1.05,  K1Ib,0.008,-0.015,,-7
7115,,,,,,18,51,36.5,N,36,32,19,6.09,-0.11,-0.48,  B6IV,-0.007,-0.022,,-21
7116,32,Nu 1,Sgr,1794,,18,54,10.2,S,22,44,42,4.83,1.41,1.23,  K2I+B9V,0.01,-0.01,0.03,-12
7117,,,,,,18,45,46.7,N,74,5,8,5.27,0.92,0.8,  K0II-III,0.005,0.077,0.02,3
7118,,,,,,18,52,7.1,N,41,23,0,6.28,-0.09,-0.31,  B9IIIpSi,-0.016,-0.001,,-23
7119,,,,,,18,54,43.1,S,15,36,11,5.1,0.17,-0.39,  B5II,-0.008,-0.005,,-3
7120,35,Nu 2,Sgr,,,18,55,7.1,S,22,40,17,4.99,1.33,1.51,  K3II-III,0.103,-0.026,0.042,-110
7121,34,Sig,Sgr,,,18,55,15.9,S,26,17,48,2.02,-0.22,-0.75,  B2.5V,0.013,-0.054,,-11
7122,,,,,,18,56,16.9,S,42,42,38,5.36,1,,  K0III,-0.035,-0.026,0.01,-21
7123,,,,,,18,51,35,N,52,58,30,5.51,0.84,0.51,  G9IVa,-0.046,0.271,0.037,2
7124,50,,Dra,,,18,46,22.2,N,75,26,2,5.35,0.05,0.04,  A1Vn,-0.015,0.073,0.008,-8
7125,47,Omi,Dra,1779,,18,51,12.1,N,59,23,18,4.66,1.19,1.04,  G9III,0.079,0.027,0.006,-20
7126,,,,,,18,55,31,S,16,22,36,5.79,0.36,0.06,  F4V,-0.025,-0.185,,-42
7127,,Ome,Pav,,,18,58,36.4,S,60,12,2,5.14,1.37,1.44,  K2IIICNIV,-0.126,0.031,0.019,180
7128,,,,,,18,56,0.6,S,23,10,25,5.93,-0.02,-0.41,  B8,-0.002,-0.009,,-16
7129,,,,,,18,56,40.5,S,37,20,36,5.38,-0.14,-0.71,  B8IVSi,0.009,-0.026,,1
7130,,,,,,19,0,3.5,S,66,39,12,6.01,0.97,0.8,  K0III,0.003,-0.04,,-20
7131,11,Del1,Lyr,,,18,53,43.6,N,36,58,18,5.58,-0.15,-0.66,  B2.5V,0.004,-0.002,,-26
7132,,,,,,18,54,13.2,N,27,54,34,5.62,1.35,,  K4III,-0.016,-0.074,,15
7133,113,,Her,1820,,18,54,44.9,N,22,38,42,4.59,0.78,0.49,  G4III+A6V,0,0.001,0.013,-24
7134,,Lam,Tel,,,18,58,27.7,S,52,56,19,4.87,-0.05,,  A0V,0.01,-0.011,,-2
7135,,,,,,18,55,27.5,N,6,36,55,5.57,1.04,0.88,  K0III,0.021,-0.087,0.011,23
7136,,,,,,18,57,34.7,S,39,49,24,6.31,0.2,,  A3,0.037,0.029,,5
7137,,,,,,18,53,13.6,N,50,42,30,4.92,0.9,0.57,  G7IIIa,0.005,-0.025,0.024,8
7138,,,,,,18,54,14.3,N,41,13,32,7.3,,,  F5,0.034,0.017,,
7139,12,Del2,Lyr,1825,,18,54,30.2,N,36,53,56,4.3,1.68,1.65,  M4II,-0.009,0.01,-0.001,-26
7140,,,,1834,,18,54,52.5,N,33,58,7,6.02,0.91,0.64,  G8III+A2,-0.008,0.003,,-16
7141,63,The1,Ser,1853,A,18,56,13.2,N,4,12,13,4.62,0.17,0.09,  A5V,0.049,0.031,0.03,-46
7142,63,The2,Ser,1853,B,18,56,14.6,N,4,12,7,4.98,0.2,0.08,  A5Vn,0.049,0.026,0.03,-53
7143,,,,,,18,56,22.7,S,1,48,0,6.22,-0.05,-0.3,  B9III,-0.005,-0.022,,-26
7144,,,,,,18,56,25.6,N,2,28,16,6.15,0.97,0.71,  G8III,0.007,-0.011,,-15
7145,36,Xi 1,Sgr,,,18,57,20.5,S,20,39,23,5.08,0.13,-0.14,  A0II,-0.001,-0.007,-0.006,2
7146,,,,1840,,18,54,52.2,N,41,36,10,5.44,1.03,,  K0III,0.002,-0.002,,-9
7147,,,,,,18,56,3.9,N,17,59,42,6.63,-0.04,-0.44,  B9pSi,0.011,-0.018,,-25
7148,,,,,,18,56,6.2,N,18,6,19,5.69,1.09,1.06,  K1III,-0.041,-0.162,0.004,44
7149,,Eta,Sct,,,18,57,3.7,S,5,50,46,4.83,1.08,1.02,  K2III,0.066,-0.036,0.039,-93
7150,37,Xi 2,Sgr,,,18,57,43.8,S,21,6,24,3.51,1.18,1.13,  K1III,0.033,-0.012,0.011,-20
7151,,,,,,18,58,21.3,S,31,2,10,6.12,1.35,,  K3III,-0.045,-0.056,,85
7152,,Eps,CrA,,,18,58,43.4,S,37,6,27,4.87,0.41,0.03,  F2V,-0.132,-0.105,0.032,54
7153,,,,,,18,53,46.3,N,57,29,13,6.22,1.23,, gK5,0.018,-0.006,,-5
7154,,,,1846,,18,54,47.1,N,48,51,35,5.77,0.43,0.02,  F3III,-0.061,-0.118,0.017,-11
7155,,,,,,18,58,20.5,S,24,52,36,6.62,0.08,,  A0,0.007,0.003,,-17
7156,,,,,,18,59,11.1,S,39,32,5,6.49,-0.04,,  A0,0.009,-0.035,,-15
7157,13,,Lyr,,,18,55,20.1,N,43,56,46,4.04,1.59,1.41,  M5III,0.023,0.083,0,-28
7158,64,,Ser,,,18,57,16.6,N,2,32,7,5.57,0,-0.27,  B9IIIep,-0.005,-0.012,,-10
7159,,,,,,18,58,24.6,S,22,31,46,6.14,0.09,,  A2V,-0.022,0.017,,-7
7160,,,,,,18,45,38.1,N,79,56,33,6.39,0.28,0.04,  A8V,0.015,0.057,,-5
7161,,,,,,19,3,29.7,S,68,45,19,5.88,0.56,0.13,  F8V,-0.015,-0.003,,25
7162,,,,1871,,18,57,1.6,N,32,54,5,5.22,0.59,0.03,  F9V,0.172,-0.157,0.057,-47
7163,,,,,,18,58,23.8,N,6,14,25,6.21,0.46,0.01,  F5IV,-0.003,-0.104,,-9
7164,,,,,,18,59,26.8,S,18,34,1,6.37,0.99,,  G3II,0.003,-0.043,,-14
7165,,,,1884,,18,58,14.7,N,17,21,39,5.38,0.8,0.43,  F8Ib,-0.003,-0.007,-0.007,-22
7166,,,,,,18,59,23.8,S,12,50,26,5.53,-0.04,,  B5IV,0.002,-0.018,0.006,-13
7167,10,,Aql,,,18,58,46.9,N,13,54,24,5.89,0.25,0.09,  F0p,-0.002,-0.052,,15
7168,,,,,,19,0,24.8,S,24,56,32,6.36,1.25,, gK0,0.055,0.044,,-25
7169,,,,,B,19,1,3.2,S,37,3,39,6.69,,,  B9V,0.011,-0.02,,12
